scenario,split,node_hours,unique_hours,unique_dates,number_of_nodes
S1_dry,train,38285,1092,59,51
S2_rain,train,32401,1005,57,51
S3_widespread_rain,train,31314,614,52,51
S4_post_rain_1_3h,train,12663,753,57,51
S5_post_rain_4_6h,train,6646,446,54,51
S6_elevated_pm2_5,train,17692,741,56,51
S7_elevated_aod,train,21431,617,48,51
S8_rain_elevated_atmospheric_pollution,train,9011,509,46,51
S1_dry,validation,9653,245,13,51
S2_rain,validation,5494,174,12,51
S3_widespread_rain,validation,5508,108,12,51
S4_post_rain_1_3h,validation,2608,140,12,51
S5_post_rain_4_6h,validation,1496,85,12,51
S6_elevated_pm2_5,validation,5057,168,11,51
S7_elevated_aod,validation,5617,175,12,51
S8_rain_elevated_atmospheric_pollution,validation,1867,98,12,51
S1_dry,test,5725,177,13,51
S2_rain,test,9371,238,13,51
S3_widespread_rain,test,9333,183,13,51
S4_post_rain_1_3h,test,2387,130,13,51
S5_post_rain_4_6h,test,1304,73,12,51
S6_elevated_pm2_5,test,3521,145,13,51
S7_elevated_aod,test,4850,131,9,51
S8_rain_elevated_atmospheric_pollution,test,3037,119,12,51
