modality,feature,training_statistic,statistic_type,train_missing_count,validation_missing_count,test_missing_count,allowed_imputation,test_statistics_used,status
rainfall,precipitation,0.0,median,0,0,0,training-only median,False,PASS
rainfall,rain_flag,0.0,median,0,0,0,training-only median,False,PASS
rainfall,rain_lag_1h,0.0,median,0,0,0,training-only median,False,PASS
rainfall,rain_lag_3h,0.0,median,0,0,0,training-only median,False,PASS
rainfall,rain_lag_6h,0.0,median,0,0,0,training-only median,False,PASS
rainfall,rain_sum_3h,0.1999999999999999,median,0,0,0,training-only median,False,PASS
rainfall,rain_sum_6h,0.5000000000000026,median,0,0,0,training-only median,False,PASS
rainfall,rain_sum_12h,1.8,median,0,0,0,training-only median,False,PASS
rainfall,rain_sum_24h,5.500000000000003,median,0,0,0,training-only median,False,PASS
rainfall,rain_max_3h,0.1,median,0,0,0,training-only median,False,PASS
rainfall,rain_max_6h,0.2,median,0,0,0,training-only median,False,PASS
rainfall,post_rain_1_3h,0.0,median,0,0,0,training-only median,False,PASS
rainfall,post_rain_4_6h,0.0,median,0,0,0,training-only median,False,PASS
rainfall,post_rain_7_12h,0.0,median,0,0,0,training-only median,False,PASS
rainfall,rain_missing_flag,0.0,median,0,0,0,training-only median,False,PASS
meteorology,temperature_2m,24.8,median,0,0,0,training-only median,False,PASS
meteorology,relative_humidity_2m,93.0,median,0,0,0,training-only median,False,PASS
meteorology,dew_point_2m,23.4,median,0,0,0,training-only median,False,PASS
meteorology,surface_pressure,1008.3,median,0,0,0,training-only median,False,PASS
meteorology,wind_speed_10m,5.1,median,0,0,0,training-only median,False,PASS
meteorology,wind_gusts_10m,13.7,median,0,0,0,training-only median,False,PASS
meteorology,wind_u,0.7071067811865477,median,0,0,0,training-only median,False,PASS
meteorology,wind_v,-3.052904034337845,median,0,0,0,training-only median,False,PASS
meteorology,wind_calm_flag,0.0,median,0,0,0,training-only median,False,PASS
meteorology,wind_gust_ratio,2.6271186440677963,median,66,21,23,training-only median,False,PASS
meteorology,wind_gust_ratio_missing_flag,0.0,median,0,0,0,training-only median,False,PASS
meteorology,cloud_cover,100.0,median,0,0,0,training-only median,False,PASS
meteorology,boundary_layer_height,170.0,median,0,0,0,training-only median,False,PASS
meteorology,shortwave_radiation,6.0,median,0,0,0,training-only median,False,PASS
meteorology,weather_missing_flag,0.0,median,0,0,0,training-only median,False,PASS
atmospheric,pm2_5,7.2,median,0,0,0,training-only median,False,PASS
atmospheric,pm10,9.1,median,0,0,0,training-only median,False,PASS
atmospheric,nitrogen_dioxide,1.8,median,0,0,0,training-only median,False,PASS
atmospheric,carbon_monoxide,159.0,median,0,0,0,training-only median,False,PASS
atmospheric,ozone,47.0,median,0,0,0,training-only median,False,PASS
atmospheric,sulphur_dioxide,0.8,median,0,0,0,training-only median,False,PASS
atmospheric,aerosol_optical_depth,0.21,median,0,0,0,training-only median,False,PASS
atmospheric,dust,0.0,median,0,0,0,training-only median,False,PASS
atmospheric,pm2_5_lag_1h,7.2,median,0,0,0,training-only median,False,PASS
atmospheric,pm2_5_lag_3h,7.2,median,0,0,0,training-only median,False,PASS
atmospheric,pm2_5_lag_6h,7.2,median,0,0,0,training-only median,False,PASS
atmospheric,pm2_5_mean_3h,7.233333333333333,median,0,0,0,training-only median,False,PASS
atmospheric,pm2_5_mean_6h,7.183333333333334,median,0,0,0,training-only median,False,PASS
atmospheric,pm2_5_mean_24h,7.137499999999999,median,0,0,0,training-only median,False,PASS
atmospheric,aerosol_optical_depth_lag_1h,0.21,median,0,0,0,training-only median,False,PASS
atmospheric,aerosol_optical_depth_lag_3h,0.21,median,0,0,0,training-only median,False,PASS
atmospheric,aerosol_optical_depth_lag_6h,0.21,median,0,0,0,training-only median,False,PASS
atmospheric,aerosol_optical_depth_mean_3h,0.2066666666666667,median,0,0,0,training-only median,False,PASS
atmospheric,aerosol_optical_depth_mean_6h,0.20500000000000004,median,0,0,0,training-only median,False,PASS
atmospheric,aerosol_optical_depth_mean_24h,0.20375000000000001,median,0,0,0,training-only median,False,PASS
atmospheric,nitrogen_dioxide_lag_1h,1.8,median,0,0,0,training-only median,False,PASS
atmospheric,nitrogen_dioxide_lag_3h,1.8,median,0,0,0,training-only median,False,PASS
atmospheric,nitrogen_dioxide_lag_6h,1.8,median,0,0,0,training-only median,False,PASS
atmospheric,nitrogen_dioxide_mean_3h,1.866666666666666,median,0,0,0,training-only median,False,PASS
atmospheric,nitrogen_dioxide_mean_6h,1.8499999999999999,median,0,0,0,training-only median,False,PASS
atmospheric,nitrogen_dioxide_mean_24h,1.9124999999999999,median,0,0,0,training-only median,False,PASS
atmospheric,ozone_mean_8h,47.0,median,0,0,0,training-only median,False,PASS
atmospheric,air_quality_missing_flag,0.0,median,0,0,0,training-only median,False,PASS
road,corridor_km,39.60091171429056,median,0,0,0,training-only median,False,PASS
road,elevation_m,15.0,median,0,0,0,training-only median,False,PASS
road,road_class,primary;trunk;trunk_link,category set,0,0,0,training-only categories; unseen values map to UNKNOWN,False,PASS
road,lane_count,2.0,median,4158,891,888,training-only median,False,PASS
road,lane_count_missing_flag,0.0,median,0,0,0,training-only median,False,PASS
road,urban_rural,peri_urban;rural;urban_or_settlement_edge,category set,0,0,0,training-only categories; unseen values map to UNKNOWN,False,PASS
road,distance_to_nearest_junction,0.07604,median,0,0,0,training-only median,False,PASS
road,osm_bridge_tagged,0.0,median,0,0,0,training-only median,False,PASS
road,distance_to_settlement,0.83038,median,0,0,0,training-only median,False,PASS
road,distance_to_major_intersection,0.31653,median,0,0,0,training-only median,False,PASS
