model,horizon,seed,train_samples,validation_samples,test_samples,epochs_run,best_epoch,best_validation_MAE,final_validation_MAE,stop_reason,scheduler_enabled,gradient_clipping_norm,train_only_scaling,test_used_for_selection,checkpoint,checkpoint_sha256,test_sample_id_sha256,elapsed_seconds,convergence_status
Formal_TCN_24h_causal,1,2025,68268,14337,13641,86,71,1.0865685939788818,1.1202818155288696,early_stopping_patience_reached,True,1.0,True,False,03_E0_baselines\best_checkpoint\Formal_TCN_h1_seed2025.pt,e981f2582caa9b82f6f676afb61e825c9c3684d9374561466518b0c597eb8dde,939f12b7e6fc96602664c3eb6049947274ccbad17789c5b0f9f77202efeb330a,4.279523849487305,PASS_EARLY_STOPPED
Formal_TCN_24h_causal,1,20260623,68268,14337,13641,67,52,1.1375874280929565,1.1943424940109253,early_stopping_patience_reached,True,1.0,True,False,03_E0_baselines\best_checkpoint\Formal_TCN_h1_seed20260623.pt,a87718f2dde9ecd33e53452c88cd197db5d9c6d55ff258e525c8fa660d1f977c,939f12b7e6fc96602664c3eb6049947274ccbad17789c5b0f9f77202efeb330a,2.7681596279144287,PASS_EARLY_STOPPED
Formal_TCN_24h_causal,1,20260715,68268,14337,13641,70,55,1.090954065322876,1.1114596128463745,early_stopping_patience_reached,True,1.0,True,False,03_E0_baselines\best_checkpoint\Formal_TCN_h1_seed20260715.pt,deb2cf58e45d00143f7678a0c1cbf127b45f42b951f17724a3a79b03a3aa94aa,939f12b7e6fc96602664c3eb6049947274ccbad17789c5b0f9f77202efeb330a,2.9040005207061768,PASS_EARLY_STOPPED
Formal_TCN_24h_causal,1,20260718,68268,14337,13641,54,39,1.1142051219940186,1.145992636680603,early_stopping_patience_reached,True,1.0,True,False,03_E0_baselines\best_checkpoint\Formal_TCN_h1_seed20260718.pt,74e403b6224332da12fd2b95748b3e4ebfa7f095c5ca6395f5b7beeb5962729b,939f12b7e6fc96602664c3eb6049947274ccbad17789c5b0f9f77202efeb330a,2.2164387702941895,PASS_EARLY_STOPPED
Formal_TCN_24h_causal,1,42,68268,14337,13641,52,37,1.1249210834503174,1.1687641143798828,early_stopping_patience_reached,True,1.0,True,False,03_E0_baselines\best_checkpoint\Formal_TCN_h1_seed42.pt,7fab8778ff1e567f0df340c827f1fd10d888697dd6e58796a8b035cf2d135d63,939f12b7e6fc96602664c3eb6049947274ccbad17789c5b0f9f77202efeb330a,2.835451602935791,PASS_EARLY_STOPPED
Formal_TCN_24h_causal,3,2025,68166,14235,13539,92,77,1.2080321311950684,1.223344326019287,early_stopping_patience_reached,True,1.0,True,False,03_E0_baselines\best_checkpoint\Formal_TCN_h3_seed2025.pt,64d2480226bd4de51ca01ebf20f7bced20563db300bf13a71f5f6828935fed09,9a3a9b9dbc9310a8dc816d1ebf97c8e6c002a848ee99c6924ba46b51154c7715,3.863006114959717,PASS_EARLY_STOPPED
Formal_TCN_24h_causal,3,20260623,68166,14235,13539,99,84,1.2302478551864624,1.237676739692688,early_stopping_patience_reached,True,1.0,True,False,03_E0_baselines\best_checkpoint\Formal_TCN_h3_seed20260623.pt,d897838001e6e173c5bedca52a577c4a7c882558685cb8dd1f2b8dd32baa7bf7,9a3a9b9dbc9310a8dc816d1ebf97c8e6c002a848ee99c6924ba46b51154c7715,4.058096408843994,PASS_EARLY_STOPPED
Formal_TCN_24h_causal,3,20260715,68166,14235,13539,100,93,1.1891248226165771,1.2221465110778809,max_epochs,True,1.0,True,False,03_E0_baselines\best_checkpoint\Formal_TCN_h3_seed20260715.pt,16357cafde1a2e06e03617540e6e1ab0b61b4f0f0c19a12ce9b0821e52117a8c,9a3a9b9dbc9310a8dc816d1ebf97c8e6c002a848ee99c6924ba46b51154c7715,4.1694042682647705,PASS_MAX_EPOCH_CHECKPOINT_SELECTED
Formal_TCN_24h_causal,3,20260718,68166,14235,13539,57,42,1.214105486869812,1.2333629131317139,early_stopping_patience_reached,True,1.0,True,False,03_E0_baselines\best_checkpoint\Formal_TCN_h3_seed20260718.pt,d8c41ea57f4dc85262dac8327b7e9c54f1d2acedb8a8d6ce5bd858798e352751,9a3a9b9dbc9310a8dc816d1ebf97c8e6c002a848ee99c6924ba46b51154c7715,2.3530609607696533,PASS_EARLY_STOPPED
Formal_TCN_24h_causal,3,42,68166,14235,13539,74,59,1.1837794780731201,1.2112467288970947,early_stopping_patience_reached,True,1.0,True,False,03_E0_baselines\best_checkpoint\Formal_TCN_h3_seed42.pt,5a51b7407950a3c7935cee9559f2c195a2865d13b07bf61b3e7a17c9a9517d1a,9a3a9b9dbc9310a8dc816d1ebf97c8e6c002a848ee99c6924ba46b51154c7715,3.1792538166046143,PASS_EARLY_STOPPED
Formal_TCN_24h_causal,6,2025,68013,14084,13387,76,61,1.2076818943023682,1.234116792678833,early_stopping_patience_reached,True,1.0,True,False,03_E0_baselines\best_checkpoint\Formal_TCN_h6_seed2025.pt,24f0f23cfbd24f489142cabdc2a3b7eb3c73b74e56b6f5182e4d1021e48fc7f5,259674dfb74cd79141d025a41431c3ee661df8a4d4cdf25f8c168d86f46d8cf5,3.221928119659424,PASS_EARLY_STOPPED
Formal_TCN_24h_causal,6,20260623,68013,14084,13387,99,84,1.2197895050048828,1.2278746366500854,early_stopping_patience_reached,True,1.0,True,False,03_E0_baselines\best_checkpoint\Formal_TCN_h6_seed20260623.pt,1cd3391d118c814618e5cb491408bb0e32477e5d0177a1e3a40a00b0d8d7fc4e,259674dfb74cd79141d025a41431c3ee661df8a4d4cdf25f8c168d86f46d8cf5,4.0698401927948,PASS_EARLY_STOPPED
Formal_TCN_24h_causal,6,20260715,68013,14084,13387,78,63,1.2893534898757935,1.3208229541778564,early_stopping_patience_reached,True,1.0,True,False,03_E0_baselines\best_checkpoint\Formal_TCN_h6_seed20260715.pt,cb6fb39da9299c918642ba44de63da4d0710f239e17a7d42d0558e9cd6230bc3,259674dfb74cd79141d025a41431c3ee661df8a4d4cdf25f8c168d86f46d8cf5,3.1895980834960938,PASS_EARLY_STOPPED
Formal_TCN_24h_causal,6,20260718,68013,14084,13387,96,81,1.2175735235214233,1.2306541204452515,early_stopping_patience_reached,True,1.0,True,False,03_E0_baselines\best_checkpoint\Formal_TCN_h6_seed20260718.pt,9f9a2607ef0b5cf173a477c17367116cce9abc1df7fb49864273b7074577e5c0,259674dfb74cd79141d025a41431c3ee661df8a4d4cdf25f8c168d86f46d8cf5,3.945591688156128,PASS_EARLY_STOPPED
Formal_TCN_24h_causal,6,42,68013,14084,13387,80,65,1.242461919784546,1.2600654363632202,early_stopping_patience_reached,True,1.0,True,False,03_E0_baselines\best_checkpoint\Formal_TCN_h6_seed42.pt,b28c8374886c4caf3073079f886e6885a0a641043252912a4445fdc2b73eddd0,259674dfb74cd79141d025a41431c3ee661df8a4d4cdf25f8c168d86f46d8cf5,3.3771231174468994,PASS_EARLY_STOPPED
