model,horizon,seed,epochs_run,best_epoch,best_validation_MAE,final_validation_MAE,stop_reason,scheduler_enabled,gradient_clipping_norm,train_only_scaling,test_used_for_selection,convergence_status,epoch_limit_at_least_100,early_stopping_patience_is_15,terminal_15_epoch_validation_slope,terminal_15_epoch_relative_range,converged_plateau_at_max,convergence_evidence,status
Formal_TCN_24h_causal,1,2025,86,71,1.0865685939788818,1.1202818155288696,early_stopping_patience_reached,True,1.0,True,False,PASS_EARLY_STOPPED,True,True,-0.0014800186668123558,0.028744383424686146,True,EARLY_STOPPING,PASS
Formal_TCN_24h_causal,1,20260623,67,52,1.1375874280929565,1.1943424940109253,early_stopping_patience_reached,True,1.0,True,False,PASS_EARLY_STOPPED,True,True,-0.0019099333456584378,0.10392040949810934,False,EARLY_STOPPING,PASS
Formal_TCN_24h_causal,1,20260715,70,55,1.090954065322876,1.1114596128463745,early_stopping_patience_reached,True,1.0,True,False,PASS_EARLY_STOPPED,True,True,-0.003093239239283976,0.0728555743802387,False,EARLY_STOPPING,PASS
Formal_TCN_24h_causal,1,20260718,54,39,1.1142051219940186,1.145992636680603,early_stopping_patience_reached,True,1.0,True,False,PASS_EARLY_STOPPED,True,True,-0.0029235946280615718,0.07821684605213348,False,EARLY_STOPPING,PASS
Formal_TCN_24h_causal,1,42,52,37,1.1249210834503174,1.1687641143798828,early_stopping_patience_reached,True,1.0,True,False,PASS_EARLY_STOPPED,True,True,-0.001285644088472631,0.03630601241720143,True,EARLY_STOPPING,PASS
Formal_TCN_24h_causal,3,2025,92,77,1.2080321311950684,1.223344326019287,early_stopping_patience_reached,True,1.0,True,False,PASS_EARLY_STOPPED,True,True,-0.0007061805043901732,0.024346002385636587,True,EARLY_STOPPING,PASS
Formal_TCN_24h_causal,3,20260623,99,84,1.2302478551864624,1.237676739692688,early_stopping_patience_reached,True,1.0,True,False,PASS_EARLY_STOPPED,True,True,0.0005430626017706711,0.01566216165650315,True,EARLY_STOPPING,PASS
Formal_TCN_24h_causal,3,20260715,100,93,1.1891248226165771,1.2221465110778809,max_epochs,True,1.0,True,False,PASS_MAX_EPOCH_CHECKPOINT_SELECTED,True,True,-0.0004898611988340105,0.029395509760872192,True,VALIDATION_PLATEAU_AT_MAX_EPOCH,PASS
Formal_TCN_24h_causal,3,20260718,57,42,1.214105486869812,1.2333629131317139,early_stopping_patience_reached,True,1.0,True,False,PASS_EARLY_STOPPED,True,True,-0.004375549299376339,0.07901376847049181,False,EARLY_STOPPING,PASS
Formal_TCN_24h_causal,3,42,74,59,1.1837794780731201,1.2112467288970947,early_stopping_patience_reached,True,1.0,True,False,PASS_EARLY_STOPPED,True,True,-0.0012528104441506648,0.06231362087384706,False,EARLY_STOPPING,PASS
Formal_TCN_24h_causal,6,2025,76,61,1.2076818943023682,1.234116792678833,early_stopping_patience_reached,True,1.0,True,False,PASS_EARLY_STOPPED,True,True,-0.0015920064279011238,0.0565116556403337,False,EARLY_STOPPING,PASS
Formal_TCN_24h_causal,6,20260623,99,84,1.2197895050048828,1.2278746366500854,early_stopping_patience_reached,True,1.0,True,False,PASS_EARLY_STOPPED,True,True,-0.0015057729823248728,0.04139222653411214,True,EARLY_STOPPING,PASS
Formal_TCN_24h_causal,6,20260715,78,63,1.2893534898757935,1.3208229541778564,early_stopping_patience_reached,True,1.0,True,False,PASS_EARLY_STOPPED,True,True,-0.0012957760265895337,0.03522336130529799,True,EARLY_STOPPING,PASS
Formal_TCN_24h_causal,6,20260718,96,81,1.2175735235214233,1.2306541204452515,early_stopping_patience_reached,True,1.0,True,False,PASS_EARLY_STOPPED,True,True,-0.00045582056045532067,0.021555200181295364,True,EARLY_STOPPING,PASS
Formal_TCN_24h_causal,6,42,80,65,1.242461919784546,1.2600654363632202,early_stopping_patience_reached,True,1.0,True,False,PASS_EARLY_STOPPED,True,True,-0.0012254817145211357,0.04045621016489722,True,EARLY_STOPPING,PASS
