variant,model,horizon,split,seed_count,sample_count_per_seed,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,1,test,5,13641,0.999443819461626,0.002586709153030285,2.4467392285999745,0.005116952003715677,1.3175941170010574,0.0025993917229505327,0.9768454627921332,9.678161089017043e-05
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,3,test,5,13539,1.1750325139711104,0.002457248924373387,2.711122036069916,0.006688206278005866,1.5935195747997284,0.0030451833453151726,0.9714922697914631,0.00014076004146941528
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,6,test,5,13387,1.2165797705586334,0.004772818161615394,2.752888784454187,0.015362858515354273,1.6519030176401261,0.008417650069807887,0.9705628108832547,0.000328305207901891
P1_pm2_5_only,P1_pm2_5_only_xgboost,1,test,5,13641,1.0263944840317607,0.0024842367274950424,2.463715528066572,0.002283779250520917,1.3519178044148652,0.0023969637156949553,0.9765231061975677,4.351895599446305e-05
P1_pm2_5_only,P1_pm2_5_only_xgboost,3,test,5,13539,1.2302382596141288,0.0076189692590883295,2.7229553023223536,0.00884556710664753,1.6468479861747276,0.008070160964847344,0.9712427678816994,0.00018687764032106042
P1_pm2_5_only,P1_pm2_5_only_xgboost,6,test,5,13387,1.3957751465337673,0.008459388099416185,2.8837232027850406,0.016294997522891215,1.8499798427995646,0.010819933222931077,0.9676982224424915,0.0003644682299228662
P2_aod_only,P2_aod_only_xgboost,1,test,5,13641,1.0158772454645015,0.006248718100765542,2.4542588064245896,0.00323507933114959,1.3350501443138205,0.006033187469546081,0.9767029712782179,6.140911926653074e-05
P2_aod_only,P2_aod_only_xgboost,3,test,5,13539,1.2804830506413967,0.012477673045855368,2.7360628674752596,0.013952334654055444,1.694340434889294,0.015187974660165561,0.9709648836597001,0.00029667161566144075
P2_aod_only,P2_aod_only_xgboost,6,test,5,13387,1.3786920613737472,0.013284821000282557,2.857207669223318,0.010588160742747477,1.8283340812778934,0.015365330217506286,0.9682899760205459,0.00023507992655678455
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,1,test,5,13641,1.0415258033002421,0.007474531553898717,2.4642658078606843,0.004877040417936103,1.3645390062668177,0.007988510264008231,0.9765125602759037,9.296724435674977e-05
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,3,test,5,13539,1.289566320040866,0.00759350341355824,2.742993024386706,0.007732994060968632,1.703438674855003,0.008484349384627863,0.9708180331781792,0.000164385577702498
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,6,test,5,13387,1.5327276137390389,0.019988722799412953,3.020995516456208,0.03377037927170839,1.990735726412422,0.020942889058024255,0.9645471004817328,0.000791620628426214
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,1,test,5,13641,1.061809240476863,0.009221924183334495,2.4786079756418764,0.009286986737463938,1.3869772980531418,0.009858489295662498,0.9762381757893797,0.00017792765501896128
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,3,test,5,13539,1.271056516988123,0.01839679814385488,2.7761849443597466,0.016283268176410102,1.6909383032068699,0.021590164950381435,0.9701068877188991,0.0003509807120525752
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,6,test,5,13387,1.31873762569996,0.0036598004612230406,2.8718288858583896,0.010769784302563491,1.7712485829996645,0.006445877954932794,0.9679645971260673,0.0002406374569848902
P5_particulate_context,P5_particulate_context_xgboost,1,test,5,13641,1.043741180499715,0.0057390488295419664,2.4609362838970634,0.008222146695627578,1.3669342663062178,0.006087047531895872,0.9765758504148682,0.0001565655491272087
P5_particulate_context,P5_particulate_context_xgboost,3,test,5,13539,1.2657896615234603,0.01275896668934039,2.7101656759760027,0.00896086380484187,1.6759640123401447,0.013585538186777171,0.9715122682472564,0.00018878330369424587
P5_particulate_context,P5_particulate_context_xgboost,6,test,5,13387,1.5353511458762816,0.0106951840924078,3.017042660849146,0.01557567079047728,1.993717884656986,0.014671285244914546,0.964642597952543,0.0003648481124085191
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,1,test,5,13641,1.1864205470263536,0.010322117477879287,2.509636434360254,0.010583188387348666,1.518106222994381,0.009746876702986802,0.9756394541507329,0.00020569699861343945
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,3,test,5,13539,1.387293616693851,0.00845087879110129,2.799782521537087,0.01667594664684971,1.8045143853133645,0.010123425777297497,0.9695965188085836,0.00036206484237965425
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,6,test,5,13387,1.4486597596445852,0.009249152817435564,2.87545052832611,0.010726615467164571,1.893248344576694,0.011312175010741807,0.9678837507456812,0.00023940389638062905
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,1,test,5,13641,1.078925646045115,0.006829065452663015,2.467241661217259,0.0033637135647282914,1.4055670843898622,0.007713568443355324,0.9764558378114782,6.420421334726063e-05
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,3,test,5,13539,1.303106716366478,0.008266542974875193,2.7544078673732377,0.006718322554010847,1.7176245842841258,0.010979353484211902,0.9705746959543676,0.00014373370430330275
P7_full_atmospheric_without_lag_rolling,P7_full_atmospheric_without_lag_rolling_xgboost,6,test,5,13387,1.5705024381851147,0.01346729206554866,3.0926317071901783,0.03066419357179191,2.0370634724200665,0.02020278947783692,0.9628465841133765,0.0007350992732465095
