rain_event_id,horizon,event_start,event_end,duration_hours,maximum_rainfall,cumulative_rainfall,affected_grid_fraction,traffic_speed_change,sample_count,E1_traffic_only_MAE,E2_rainfall_MAE,E3_meteorology_MAE,E4_atmospheric_MAE,E5_full_fusion_MAE,analysis_strength
23,1,2026-02-16 04:00:00,2026-02-22 19:00:00,149,50.1,176.26666666666665,1.0,0.01724307278742762,6448,1.1408318715848835,1.2810331193231375,1.13624206672334,1.2706857673228527,1.2579633035809665,DESCRIPTIVE_ONLY
23,3,2026-02-16 04:00:00,2026-02-22 19:00:00,149,50.1,176.26666666666665,1.0,0.031225429339954477,6444,1.333658591526378,1.4549896079295666,1.3652395384962357,1.4446246636246836,1.4890595148040375,DESCRIPTIVE_ONLY
23,6,2026-02-16 04:00:00,2026-02-22 19:00:00,149,50.1,176.26666666666665,1.0,0.01857800537968136,6444,1.3802529607923189,1.6609464113001446,1.507631212136229,1.5116898758673356,1.5895298531009572,DESCRIPTIVE_ONLY
24,1,2026-02-23 02:00:00,2026-02-26 19:00:00,85,17.2,75.35333333333334,1.0,-0.0007809246147438597,4802,0.9199675154192785,1.1322621562258164,1.019297323421556,1.1501551387013123,1.1905514037230107,DESCRIPTIVE_ONLY
24,3,2026-02-23 02:00:00,2026-02-26 19:00:00,85,17.2,75.35333333333334,1.0,-0.004354010546766587,4804,1.0910418989788715,1.3110310391720685,1.1891179979161823,1.430079882217056,1.4540769661197457,DESCRIPTIVE_ONLY
24,6,2026-02-23 02:00:00,2026-02-26 19:00:00,85,17.2,75.35333333333334,1.0,0.09122606161532058,4804,1.0869716194315882,1.231197132456809,1.1743501143358892,1.4795973475760895,1.5138580413318625,DESCRIPTIVE_ONLY
25,1,2026-02-27 11:00:00,2026-02-27 18:00:00,8,10.5,7.6,1.0,0.16943187531422832,663,1.2145778094062019,1.3607354008294397,1.2847254316311734,1.3646926231633605,1.3446496548276259,DESCRIPTIVE_ONLY
25,3,2026-02-27 11:00:00,2026-02-27 18:00:00,8,10.5,7.6,1.0,0.5289089994972349,663,1.261077984042237,1.4151459607123849,1.3335876675812428,1.473520041686797,1.483596509853879,DESCRIPTIVE_ONLY
25,6,2026-02-27 11:00:00,2026-02-27 18:00:00,8,10.5,7.6,1.0,1.2156862745098038,663,1.327461878266869,1.5640904974613794,1.440658400560996,1.5428057018987733,1.6398968788173824,DESCRIPTIVE_ONLY
26,1,2026-02-28 11:00:00,2026-02-28 18:00:00,8,13.3,6.146666666666667,0.9333333333333332,0.17253136933987998,611,0.8398620226704482,0.8484838682383835,0.78932603460417,1.4218872116097192,1.0638762333064018,DESCRIPTIVE_ONLY
26,3,2026-02-28 11:00:00,2026-02-28 18:00:00,8,13.3,6.146666666666667,0.9333333333333332,0.48297314996725604,509,1.184296677045441,1.2400259561295124,1.3168713043152933,1.7106456459310213,1.6178324321554465,DESCRIPTIVE_ONLY
26,6,2026-02-28 11:00:00,2026-02-28 18:00:00,8,13.3,6.146666666666667,0.9333333333333332,0.6421568627450981,357,1.4816153090875022,1.6844942429486442,2.221329917159735,1.669824034960664,1.7840304797659623,DESCRIPTIVE_ONLY
