experiment,model,horizon,seed,sample_count_all,MAE_all,RMSE_all,sMAPE_all,R2_all,sample_count_excluding,MAE_excluding,RMSE_excluding,sMAPE_excluding,R2_excluding,delta_MAE,relative_change_percent
E1_traffic_only,E1_traffic_only_xgboost,1,42,13641,0.9980668375849405,2.4487234104075286,1.3168401590240015,0.9768079743944938,13593,0.9836058215210497,2.4334718355643874,1.2998661180896602,0.9771232131302273,-0.01446101606389083,-1.448902570381227
E1_traffic_only,E1_traffic_only_xgboost,1,2025,13641,0.9971901876580413,2.450649351476196,1.316535280623856,0.9767714786108836,13593,0.9872575066387163,2.4433941856197428,1.3048783024391273,0.9769362750634634,-0.009932681019325096,-0.9960668628972944
E1_traffic_only,E1_traffic_only_xgboost,1,20260623,13641,1.0032477383948815,2.4510366983026204,1.3213369732893305,0.9767641350836638,13593,0.9896759446861902,2.43759979569774,1.3058765278308193,0.9770455343516301,-0.013571793708691215,-1.3527858762388074
E1_traffic_only,E1_traffic_only_xgboost,1,20260715,13641,1.0009857405928273,2.4388953990434934,1.318804657164039,0.9769937643337975,13593,0.9871166599408105,2.424707216086183,1.3027538380872141,0.9772877067131859,-0.013869080652016752,-1.3855422799332666
E1_traffic_only,E1_traffic_only_xgboost,1,20260718,13641,0.9977285930774394,2.444391283770032,1.3144535149040597,0.9768899615378275,13593,0.9806714017346946,2.423472425515922,1.2946396196252419,0.9773108334514623,-0.01705719134274486,-1.7096023368572495
E1_traffic_only,E1_traffic_only_xgboost,3,42,13539,1.1784762487250193,2.7215645578459395,1.5965616420418562,0.9712723783151035,13389,1.174759809804716,2.7276757739915443,1.5933647952824606,0.9712553204976369,-0.0037164389203032666,-0.31535967944403137
E1_traffic_only,E1_traffic_only_xgboost,3,2025,13539,1.1733298926467683,2.706883404042203,1.5921894195655897,0.9715814777841955,13389,1.1711757160080116,2.7141750501809976,1.5913248704801244,0.971539161847119,-0.002154176638756722,-0.18359513826903223
E1_traffic_only,E1_traffic_only_xgboost,3,20260623,13539,1.1734359243629477,2.7128225101428343,1.5919566450556124,0.971456636221307,13389,1.1724471661836005,2.7204949994949867,1.5919394632879078,0.9714064655649233,-0.0009887581793472933,-0.08426179553724546
E1_traffic_only,E1_traffic_only_xgboost,3,20260715,13539,1.1768088351301655,2.710151888245099,1.5968813049304063,0.9715128072466477,13389,1.1735668553804346,2.7164647915423883,1.5945692244137875,0.9714911211381022,-0.00324197974973095,-0.2754890729021726
E1_traffic_only,E1_traffic_only_xgboost,3,20260718,13539,1.173111668990652,2.7041878200735048,1.5900088624051771,0.9716380493900612,13389,1.1707237234345191,2.7111573909700533,1.5881821982012423,0.971602413011587,-0.0023879455561328644,-0.20355654276182064
E1_traffic_only,E1_traffic_only_xgboost,6,42,13387,1.2211762180918702,2.7723151869521563,1.6599500733702164,0.9701466279778281,13088,1.1850187839291983,2.7254073269708203,1.615429687016304,0.9713740980433869,-0.03615743416267181,-2.9608694983570056
E1_traffic_only,E1_traffic_only_xgboost,6,2025,13387,1.2105098615797245,2.7304551290892345,1.6407473187710198,0.9710413526125659,13088,1.1896709341291691,2.7241992115190317,1.6183159417195705,0.971399470932855,-0.020838927450555378,-1.7215000151556321
E1_traffic_only,E1_traffic_only_xgboost,6,20260623,13387,1.2210236967858117,2.7548710861484693,1.6579716315833863,0.9705211357832628,13088,1.192893944781489,2.7296469984622003,1.6248477265032195,0.9712849672796255,-0.02812975200432266,-2.3037842818587904
E1_traffic_only,E1_traffic_only_xgboost,6,20260715,13387,1.2172144128169637,2.758830850151414,1.6555715183667732,0.9704363309170874,13088,1.1868754708485187,2.7345418667340873,1.6205504978929057,0.9711818899753955,-0.030338941968445,-2.4924895440756796
E1_traffic_only,E1_traffic_only_xgboost,6,20260718,13387,1.2129746635187961,2.7479716699296626,1.6452745461092342,0.97066860712553,13088,1.182970916787686,2.7196196376628894,1.6105889608733297,0.9714955491805399,-0.03000374673111006,-2.473567472882761
E3_meteorology,E3_meteorology_aware_xgboost,1,42,13641,1.030439187816035,2.4805143502055884,1.3553041522135605,0.9762018770952744,13593,1.0245076831353734,2.477650072370167,1.3482339544053237,0.9762850443676655,-0.0059315046806616145,-0.5756287950609822
E3_meteorology,E3_meteorology_aware_xgboost,1,2025,13641,1.0338904146522065,2.4744534969530747,1.3570974153311819,0.9763180310029292,13593,1.0278717106123385,2.4718509426461033,1.350216286757671,0.9763959277893844,-0.006018704039868039,-0.5821413908642038
E3_meteorology,E3_meteorology_aware_xgboost,1,20260623,13641,1.031717208997655,2.486276218241041,1.3577657068095619,0.9760911896482874,13593,1.021478793300611,2.478263853739572,1.3459263813812714,0.9762732932321525,-0.010238415697043868,-0.9923664748202469
E3_meteorology,E3_meteorology_aware_xgboost,1,20260715,13641,1.0349874733183164,2.4758692739069423,1.3604796347763601,0.9762909236212572,13593,1.0303914151163296,2.4742053363868446,1.3550975155338678,0.9763509414634,-0.00459605820198683,-0.4440689689944958
E3_meteorology,E3_meteorology_aware_xgboost,1,20260718,13641,1.0267779172773315,2.477755696556065,1.3505797601484884,0.9762547808589697,13593,1.0200830122128863,2.4745395693444983,1.3428581914188846,0.9763445516714552,-0.006694905064445145,-0.652030487975216
E3_meteorology,E3_meteorology_aware_xgboost,3,42,13539,1.2364314612860483,2.7343949283268265,1.6580912553548075,0.9710008765074918,13389,1.233999731058287,2.7395149339809257,1.6554328036393335,0.9710052530908354,-0.0024317302277612196,-0.1966732733597628
E3_meteorology,E3_meteorology_aware_xgboost,3,2025,13539,1.2354166925318861,2.729536407115517,1.6527603255619097,0.9711038372646825,13389,1.2333925800920378,2.735760126582306,1.6513478169185976,0.9710846796198946,-0.0020241124398483468,-0.16384046387620785
E3_meteorology,E3_meteorology_aware_xgboost,3,20260623,13539,1.2318758529436553,2.731230330727912,1.6536262512534994,0.9710679607835856,13389,1.2296425656640546,2.736430102501712,1.6516915121405025,0.9710705154098839,-0.002233287279600704,-0.18129158666955802
E3_meteorology,E3_meteorology_aware_xgboost,3,20260715,13539,1.2333962991958054,2.7321222339725915,1.6539295827250284,0.9710490617601681,13389,1.2313182139897045,2.7385310691316636,1.652029434074622,0.9710260756017036,-0.002078085206100866,-0.168484793367372
E3_meteorology,E3_meteorology_aware_xgboost,3,20260718,13539,1.2351037154096847,2.7325189503599394,1.6583362236296428,0.9710406535379111,13389,1.2309153619385829,2.737047058986938,1.6537443950361794,0.9710574690359602,-0.004188353471101802,-0.33910945444063556
E3_meteorology,E3_meteorology_aware_xgboost,6,42,13387,1.3362087636820208,2.8415009435016727,1.7777038854154357,0.9686379968536879,13088,1.295522382187474,2.791596148940133,1.7290860228655176,0.969966805941276,-0.04068638149454684,-3.0449120377292354
E3_meteorology,E3_meteorology_aware_xgboost,6,2025,13387,1.3224251230198598,2.8238260875879635,1.762004908209431,0.9690269426226972,13088,1.2849277942474042,2.787595959372506,1.7190252518890397,0.9700528157991111,-0.037497328772455596,-2.835497308673897
E3_meteorology,E3_meteorology_aware_xgboost,6,20260623,13387,1.3279213709641386,2.8140383160553673,1.7673519969320455,0.9692412843048639,13088,1.2881581492412353,2.7681767079510586,1.7204824911686765,0.9704686050835318,-0.039763221722903364,-2.9943957972476363
E3_meteorology,E3_meteorology_aware_xgboost,6,20260715,13387,1.33461914738794,2.825584371259629,1.7759368450426347,0.9689883592438268,13088,1.2930432058293932,2.7806695847410796,1.7272390533191382,0.970201451199423,-0.041575941558546825,-3.115191449179902
E3_meteorology,E3_meteorology_aware_xgboost,6,20260718,13387,1.3420197178342037,2.839754810461213,1.7867061562228341,0.9686765295904395,13088,1.303534070028944,2.7985195118723185,1.741722995408178,0.9698176521718479,-0.03848564780525976,-2.8677408605716455
E4_atmospheric,E4_atmospheric_context_xgboost,1,42,13641,1.1853499332253943,2.5103155095385117,1.5182337594227706,0.9756266158201244,13593,1.1849383250327976,2.509766777973403,1.5170029824100881,0.9756662461747071,-0.0004116081925966686,-0.03472461431508777
E4_atmospheric,E4_atmospheric_context_xgboost,1,2025,13641,1.2004923162736945,2.5260355045734717,1.5311414130629746,0.9753204000091457,13593,1.2002671627472274,2.5263404360912847,1.5303414256536407,0.9753438011197372,-0.00022515352646701459,-0.018755099338402005
E4_atmospheric,E4_atmospheric_context_xgboost,1,20260623,13641,1.1926195764402967,2.510959341230875,1.5237796155985017,0.9756141119181492,13593,1.1918495689168889,2.511431943716146,1.5225702567543766,0.9756339458227232,-0.0007700075234078341,-0.06456438738882139
E4_atmospheric,E4_atmospheric_context_xgboost,1,20260715,13641,1.178281963788277,2.502382111462189,1.5091815705536207,0.9757804277316877,13593,1.177708212401284,2.5027533100424586,1.5081485790611697,0.9758020560402876,-0.0005737513869930044,-0.048693895402450595
E4_atmospheric,E4_atmospheric_context_xgboost,1,20260718,13641,1.1753589454041056,2.498489704996223,1.5081947563340365,0.9758557152745577,13593,1.175215338224719,2.4988150470077914,1.5075315944908458,0.9758781505469185,-0.0001436071793865512,-0.012218155138741634
E4_atmospheric,E4_atmospheric_context_xgboost,3,42,13539,1.3920374548839942,2.797264207825447,1.8124757234767395,0.9696520493990752,13389,1.3948740146477507,2.8033809881379357,1.8176103861053134,0.9696375910711369,0.0028365597637565187,0.20377036219854472
E4_atmospheric,E4_atmospheric_context_xgboost,3,2025,13539,1.3990140889418057,2.818692102349207,1.8167996991684223,0.96918531951169,13389,1.4024300779467587,2.8258243717427782,1.8223037591309066,0.969149492650105,0.0034159890049529906,0.24417116539096445
E4_atmospheric,E4_atmospheric_context_xgboost,3,20260623,13539,1.3786478777939277,2.8137463453673752,1.7949152457806907,0.9692933612638756,13389,1.3826964523828653,2.8222197246704286,1.8011741410390845,0.969228148822044,0.004048574588937592,0.29366270054511695
E4_atmospheric,E4_atmospheric_context_xgboost,3,20260715,13539,1.3865844955536375,2.791414178931182,1.8040277209225162,0.9697788523967886,13389,1.3896235849757195,2.798982171450842,1.809309851775574,0.969732800311275,0.0030390894220819753,0.21917809061239527
E4_atmospheric,E4_atmospheric_context_xgboost,3,20260718,13539,1.3801841662958905,2.7777957732122243,1.7943535372184534,0.9700730114714886,13389,1.3827529655173718,2.7848067870005395,1.7985258528632224,0.9700385991413122,0.0025687992214813438,0.18612003268921956
E4_atmospheric,E4_atmospheric_context_xgboost,6,42,13387,1.4559295383019382,2.8831174536067348,1.8983452456386392,0.9677126162656363,13088,1.4505583255390082,2.8854514936933784,1.8957919605784486,0.967913385460173,-0.0053712127629299555,-0.36891982899079323
E4_atmospheric,E4_atmospheric_context_xgboost,6,2025,13387,1.4558557020015312,2.8869735909901264,1.910449062446536,0.9676261904774525,13088,1.4518416023681877,2.8937442205889004,1.9101038181914276,0.9677286879221461,-0.0040140996333435375,-0.27572098167592407
E4_atmospheric,E4_atmospheric_context_xgboost,6,20260623,13387,1.4402697403145213,2.8748284863110136,1.8869265599537082,0.967898001949806,13088,1.4348239775877614,2.879211593645674,1.884723886741004,0.9680520124856188,-0.005445762726759895,-0.37810714023406944
E4_atmospheric,E4_atmospheric_context_xgboost,6,20260715,13387,1.4542447431216734,2.85924170313135,1.8886100181787064,0.9682451603543645,13088,1.4481751402510603,2.8580652132962876,1.8846889718468727,0.9685195733840024,-0.006069602870613089,-0.41737148436129906
E4_atmospheric,E4_atmospheric_context_xgboost,6,20260718,13387,1.4369990744832615,2.873091407591325,1.8819108366658805,0.9679367846811472,13088,1.4293439499614877,2.8721863913730457,1.8758842174437833,0.9682077268205851,-0.0076551245217737485,-0.532716037032
E5_full_fusion,E5_full_fusion_xgboost,1,42,13641,1.194628900955305,2.5220984551509966,1.5324932214864586,0.975397270729886,13593,1.1941089524513935,2.522551138896773,1.5316296565398286,0.9754177100795975,-0.0005199485039115714,-0.04352385108846654
E5_full_fusion,E5_full_fusion_xgboost,1,2025,13641,1.1563395121887399,2.522764701672654,1.4931408369512453,0.9753842707236552,13593,1.1554955678297303,2.522994775227303,1.491881272285147,0.9754090628369696,-0.0008439443590095852,-0.07298413226511237
E5_full_fusion,E5_full_fusion_xgboost,1,20260623,13641,1.1619693847735297,2.5159451293072603,1.4984414794193446,0.9755171740058826,13593,1.1623849660588612,2.516425921492386,1.4985262701700581,0.9755369457689483,0.00041558128533147887,0.0357652525769839
E5_full_fusion,E5_full_fusion_xgboost,1,20260715,13641,1.1645033523040913,2.5095888983154238,1.5029620241687773,0.9756407235379353,13593,1.164008559494039,2.510001652369346,1.5020943798270996,0.9756616914541528,-0.0004947928100522692,-0.04248959945656403
E5_full_fusion,E5_full_fusion_xgboost,1,20260718,13641,1.1637247967632058,2.506606077970266,1.4984185668460483,0.9756985945024897,13593,1.163085458415408,2.5066067083455565,1.4972324025877506,0.9757274852879401,-0.0006393383477978354,-0.05493896405542758
E5_full_fusion,E5_full_fusion_xgboost,3,42,13539,1.4073290782931942,2.83499581438471,1.838524452940657,0.9688278156647007,13389,1.4036764283317589,2.8376375360629003,1.8352722573625488,0.9688910166606406,-0.003652649961435328,-0.259544836937872
E5_full_fusion,E5_full_fusion_xgboost,3,2025,13539,1.421765662269208,2.8241961058458194,1.850543396177472,0.9690648596003125,13389,1.4191385748435827,2.827464345686581,1.8483108913088548,0.9691136739276849,-0.0026270874256253407,-0.18477640129755138
E5_full_fusion,E5_full_fusion_xgboost,3,20260623,13539,1.4244715538206165,2.8318090911231018,1.854768061620273,0.9688978554818145,13389,1.423668470911441,2.8378165171647463,1.8551395024069224,0.9688870922019033,-0.0008030829091754121,-0.05637760241834525
E5_full_fusion,E5_full_fusion_xgboost,3,20260715,13539,1.3944295520887193,2.817599728379695,1.8242576250043965,0.9692091991203826,13389,1.3894353392814676,2.820001810932594,1.8192380074874264,0.9692764955139292,-0.004994212807251763,-0.35815454425581555
E5_full_fusion,E5_full_fusion_xgboost,3,20260718,13539,1.3932205844477834,2.8285771012829852,1.8201758365999676,0.9689688097363306,13389,1.3922487117641877,2.834902277933545,1.8198787207991902,0.9689509609544056,-0.0009718726835956648,-0.06975727278540576
E5_full_fusion,E5_full_fusion_xgboost,6,42,13387,1.4872926561722186,2.870572049903663,1.931181429916549,0.9679929912405044,13088,1.4745431241312938,2.872490313924936,1.9205549538923998,0.9682009982182628,-0.012749532040924771,-0.8572308878158315
E5_full_fusion,E5_full_fusion_xgboost,6,2025,13387,1.4755648972138546,2.8705366070796012,1.9231854461300903,0.9679937816138218,13088,1.4678121670728403,2.8796998192596583,1.9191797313571255,0.9680411767774619,-0.007752730141014297,-0.5254076019057458
E5_full_fusion,E5_full_fusion_xgboost,6,20260623,13387,1.5095473863033626,2.904156898636104,1.9577894646213518,0.9672396648432585,13088,1.499378760228239,2.909270785011312,1.9508440910127427,0.9673814513946941,-0.010168626075123699,-0.6736208592977674
E5_full_fusion,E5_full_fusion_xgboost,6,20260715,13387,1.5238901376670817,2.911441777256099,1.9693790997264033,0.967075104595002,13088,1.5164525270462035,2.9133094260839885,1.9637811118201656,0.9672908265909769,-0.007437610620878221,-0.4880673768428237
E5_full_fusion,E5_full_fusion_xgboost,6,20260718,13387,1.5038806275368473,2.885937390156613,1.9512725553714412,0.9676494257078295,13088,1.4945708173800019,2.892524648761898,1.9462662236216752,0.9677558837531982,-0.0093098101568454,-0.6190524690841724
